AGE,LEAVES_USED,LEAVES_REMAINING,RATINGS,PAST_EXP,TENURE,SEX_M,DESIGNATION_Associate,DESIGNATION_Director,DESIGNATION_Manager,DESIGNATION_Senior Analyst,DESIGNATION_Senior Manager,UNIT_IT,UNIT_Management,UNIT_Marketing,UNIT_Operations,UNIT_Web,SALARY
24.0,30.0,0.0,4.0,0.0,3.162217659137577,0,0,0,0,0,0,0,0,0,0,1,46974
24.0,22.0,8.0,3.0,1.0,2.8802190280629705,1,0,0,0,0,0,0,0,0,0,0,48451
24.0,30.0,0.0,3.0,1.0,2.91854893908282,1,0,0,0,0,0,0,1,0,0,0,44983
25.0,24.0,6.0,4.0,3.0,1.9164955509924708,0,0,0,0,0,0,0,0,0,0,1,43531
21.0,24.0,6.0,2.0,0.0,1.9028062970568105,0,0,0,0,0,0,0,0,0,0,0,48773
27.0,27.0,3.0,2.0,5.0,1.9685147159479808,1,0,0,0,1,0,0,1,0,0,0,69877
24.0,22.0,8.0,5.0,0.0,3.383983572895277,0,0,0,0,0,0,0,0,0,0,1,42416
21.0,21.0,9.0,3.0,0.0,2.97056810403833,0,0,0,0,0,0,1,0,0,0,0,48422
21.0,16.0,14.0,4.0,0.0,1.946611909650924,0,0,0,0,0,0,0,0,1,0,0,44447
24.0,22.0,8.0,3.0,2.0,1.5085557837097878,1,0,0,0,0,0,0,0,0,1,0,43295
28.0,17.0,13.0,5.0,3.0,2.379192334017796,1,0,0,0,1,0,0,0,1,0,0,66184
41.0,20.0,10.0,5.0,14.0,6.86652977412731,0,0,1,0,0,0,0,0,0,0,0,375647
25.0,27.0,3.0,2.0,3.0,1.7987679671457906,0,0,0,0,0,0,0,0,0,1,0,44454
26.0,17.0,13.0,2.0,0.0,4.153319644079398,1,0,0,0,1,0,0,0,0,0,0,60987
21.0,21.0,9.0,2.0,0.0,2.48870636550308,1,0,0,0,0,0,0,0,0,0,1,44850
29.0,27.0,3.0,5.0,3.0,4.101300479123887,1,1,0,0,0,0,1,0,0,0,0,89791
24.0,21.0,9.0,5.0,0.0,3.0417522245037647,1,0,0,0,0,0,1,0,0,0,0,41146
27.0,20.0,10.0,2.0,2.0,3.1156741957563314,1,0,0,0,1,0,0,0,1,0,0,56977
25.0,17.0,13.0,5.0,2.0,2.1492128678986995,1,0,0,0,0,0,0,0,1,0,0,48877
25.0,23.0,7.0,3.0,1.0,3.02258726899384,1,0,0,0,0,0,0,0,1,0,0,46941
24.0,25.0,5.0,5.0,1.0,2.351813826146475,0,0,0,0,0,0,0,0,1,0,0,47109
21.0,28.0,2.0,2.0,0.0,1.8124572210814511,0,0,0,0,0,0,0,0,0,0,1,48833
22.0,25.0,5.0,3.0,0.0,2.239561943874059,0,0,0,0,0,0,0,0,0,1,0,45513
22.0,21.0,9.0,2.0,0.0,1.4373716632443532,1,0,0,0,0,0,0,1,0,0,0,41027
21.0,16.0,14.0,4.0,0.0,2.0752908966461328,0,0,0,0,0,0,0,1,0,0,0,48240
27.0,19.0,11.0,4.0,0.0,4.4955509924709105,1,0,0,0,1,0,0,0,0,0,1,60465
25.0,22.0,8.0,4.0,2.0,2.855578370978782,0,0,0,0,0,0,0,1,0,0,0,46896
26.0,30.0,0.0,5.0,2.0,3.8767967145790556,1,0,0,0,1,0,0,0,0,0,0,64480
31.0,17.0,13.0,3.0,5.0,1.9274469541409993,1,1,0,0,0,0,0,1,0,0,0,82083
22.0,17.0,13.0,4.0,0.0,1.5249828884325805,0,0,0,0,0,0,0,0,0,0,0,42263
35.0,21.0,9.0,4.0,8.0,5.232032854209446,0,0,0,1,0,0,0,0,1,0,0,148890
25.0,30.0,0.0,5.0,1.0,3.3018480492813143,0,0,0,0,1,0,0,0,1,0,0,64737
21.0,30.0,0.0,3.0,0.0,3.359342915811088,1,0,0,0,0,0,0,0,0,0,1,45768
25.0,19.0,11.0,5.0,3.0,1.4702258726899384,1,0,0,0,0,0,0,0,0,0,1,43563
23.0,20.0,10.0,2.0,0.0,2.2806297056810405,1,0,0,0,0,0,0,1,0,0,0,40354
33.0,27.0,3.0,4.0,7.0,2.2669404517453797,1,0,0,1,0,0,1,0,0,0,0,140867
24.0,16.0,14.0,5.0,1.0,2.3846680355920604,0,0,0,0,0,0,0,0,1,0,0,45450
21.0,27.0,3.0,2.0,0.0,2.0506502395619437,1,0,0,0,0,0,0,0,0,0,0,45331
25.0,25.0,5.0,3.0,2.0,2.1218343600273784,0,0,0,0,0,0,0,0,0,0,0,45081
22.0,28.0,2.0,4.0,0.0,3.4195756331279945,0,0,0,0,0,0,0,0,1,0,0,48993
27.0,30.0,0.0,3.0,2.0,2.3874058863791925,1,0,0,0,1,0,1,0,0,0,0,58848
21.0,29.0,1.0,2.0,0.0,2.0369609856262834,1,0,0,0,0,0,0,0,0,0,0,43726
25.0,30.0,0.0,3.0,1.0,3.4277891854893907,1,0,0,0,0,0,0,0,0,1,0,41777
25.0,18.0,12.0,5.0,3.0,1.6290212183436004,0,0,0,0,0,0,0,0,0,0,0,45998
26.0,18.0,12.0,5.0,1.0,3.1019849418206706,1,0,0,0,1,0,0,0,0,0,1,59121
25.0,26.0,4.0,2.0,2.0,2.0150581793292264,1,0,0,0,0,0,1,0,0,0,0,41071
23.0,17.0,13.0,4.0,0.0,3.3374401095140316,0,0,0,0,0,0,0,0,1,0,0,46669
23.0,26.0,4.0,4.0,0.0,2.6557152635181382,0,0,0,0,0,0,0,0,0,0,0,40134
21.0,22.0,8.0,3.0,0.0,2.1683778234086244,0,0,0,0,0,0,0,0,1,0,0,42686
24.0,24.0,6.0,3.0,1.0,2.2806297056810405,1,0,0,0,0,0,0,1,0,0,0,42662
26.0,28.0,2.0,5.0,3.0,2.11088295687885,1,0,0,0,1,0,0,0,0,1,0,68295
28.0,27.0,3.0,4.0,4.0,3.9616700889801506,0,1,0,0,0,0,0,0,0,1,0,75658
21.0,28.0,2.0,2.0,0.0,1.6016427104722792,0,0,0,0,0,0,0,1,0,0,0,41759
21.0,29.0,1.0,4.0,0.0,2.0095824777549622,0,0,0,0,0,0,0,1,0,0,0,48067
24.0,25.0,5.0,5.0,0.0,3.14031485284052,0,0,0,0,0,0,0,0,1,0,0,42538
22.0,19.0,11.0,5.0,0.0,3.1704312114989732,1,0,0,0,0,0,0,0,0,0,0,41284
25.0,29.0,1.0,4.0,2.0,2.2340862422997945,1,0,0,0,0,0,0,0,0,1,0,45083
23.0,28.0,2.0,5.0,0.0,2.0561259411362083,0,0,0,0,0,0,1,0,0,0,0,45815
23.0,25.0,5.0,5.0,0.0,2.6776180698151952,1,0,0,0,0,0,0,0,0,1,0,42553
25.0,19.0,11.0,3.0,1.0,3.077344284736482,0,0,0,0,0,0,0,0,0,0,1,46927
24.0,19.0,11.0,5.0,0.0,3.247091033538672,0,0,0,0,0,0,0,0,0,1,0,48095
25.0,22.0,8.0,4.0,2.0,2.8145106091718,1,0,0,0,0,0,1,0,0,0,0,48042
23.0,23.0,7.0,4.0,0.0,2.2505133470225873,0,0,0,0,0,0,0,1,0,0,0,43172
27.0,18.0,12.0,2.0,0.0,4.344969199178645,1,0,0,0,1,0,1,0,0,0,0,55417
22.0,25.0,5.0,4.0,0.0,2.7707049965776864,0,0,0,0,0,0,0,0,0,0,1,43036
22.0,29.0,1.0,3.0,0.0,2.102669404517454,1,0,0,0,0,0,1,0,0,0,0,43511
24.0,22.0,8.0,2.0,2.0,1.73305954825462,0,0,0,0,0,0,0,0,1,0,0,48426
22.0,20.0,10.0,3.0,0.0,2.3600273785078714,0,0,0,0,0,0,0,0,1,0,0,42418
22.0,22.0,8.0,5.0,0.0,2.7816563997262147,0,0,0,0,0,0,0,1,0,0,0,43923
24.0,20.0,10.0,5.0,0.0,3.370294318959617,0,0,0,0,0,0,1,0,0,0,0,48769
21.0,20.0,10.0,2.0,0.0,3.2005475701574264,0,0,0,0,0,0,0,0,1,0,0,42760
23.0,17.0,13.0,3.0,1.0,1.5058179329226558,0,0,0,0,0,0,0,1,0,0,0,43818
23.0,24.0,6.0,4.0,0.0,2.42299794661191,0,0,0,0,0,0,0,0,0,0,0,45704
25.0,23.0,7.0,4.0,2.0,2.458590006844627,1,0,0,0,0,0,0,1,0,0,0,45865
25.0,24.0,6.0,4.0,0.0,1.6865160848733745,1,0,0,0,1,0,0,0,1,0,0,51747
25.0,24.0,6.0,3.0,0.0,4.301163586584531,1,0,0,0,1,0,0,1,0,0,0,61235
25.0,15.0,15.0,5.0,2.0,2.080766598220397,0,0,0,0,0,0,1,0,0,0,0,47517
24.0,21.0,9.0,4.0,2.0,1.809719370294319,0,0,0,0,0,0,0,0,0,1,0,49567
28.0,20.0,10.0,2.0,4.0,1.6700889801505818,0,1,0,0,0,0,1,0,0,0,0,97478
24.0,22.0,8.0,4.0,0.0,3.137577002053388,1,0,0,0,0,0,0,1,0,0,0,42338
25.0,17.0,13.0,4.0,2.0,2.0451745379876796,0,0,0,0,0,0,0,0,0,1,0,43328
23.0,28.0,2.0,5.0,0.0,2.811772758384668,0,0,0,0,0,0,0,0,1,0,0,46127
25.0,16.0,14.0,2.0,2.0,2.127310061601643,1,0,0,0,0,0,0,0,0,0,1,48098
23.0,22.0,8.0,3.0,0.0,3.3347022587268995,1,0,0,0,0,0,0,0,0,0,0,43247
25.0,29.0,1.0,4.0,0.0,4.4955509924709105,1,0,0,0,1,0,0,0,0,0,0,64913
26.0,23.0,7.0,3.0,0.0,2.198494182067077,0,0,0,0,1,0,0,1,0,0,0,57783
32.0,26.0,4.0,2.0,4.0,3.5290896646132786,0,0,0,1,0,0,0,0,0,0,1,138026
25.0,29.0,1.0,4.0,1.0,3.07460643394935,0,0,0,0,0,0,0,1,0,0,0,45986
24.0,22.0,8.0,5.0,1.0,2.6995208761122518,0,0,0,0,0,0,0,0,0,0,0,40486
26.0,28.0,2.0,3.0,4.0,1.8206707734428473,0,0,0,0,1,0,0,0,0,0,0,56733
25.0,22.0,8.0,5.0,2.0,2.7679671457905544,0,0,0,0,0,0,0,1,0,0,0,49559
25.0,23.0,7.0,4.0,1.0,3.0691307323750854,1,0,0,0,0,0,0,0,0,0,0,43884
27.0,19.0,11.0,3.0,3.0,3.515400410677618,1,0,0,0,1,0,0,0,0,0,0,53517
25.0,19.0,11.0,5.0,2.0,2.269678302532512,0,0,0,0,0,0,0,1,0,0,0,43428
24.0,25.0,5.0,5.0,2.0,1.9110198494182067,1,0,0,0,0,0,1,0,0,0,0,41466
21.0,26.0,4.0,4.0,0.0,1.6892539356605065,0,0,0,0,0,0,0,0,0,0,1,40142
22.0,20.0,10.0,4.0,0.0,1.9739904175222451,1,0,0,0,0,0,0,1,0,0,0,43508
30.0,30.0,0.0,3.0,4.0,5.404517453798768,1,1,0,0,0,0,0,0,0,1,0,89843
45.0,18.0,12.0,2.0,18.0,3.9452429842573578,0,0,1,0,0,0,0,1,0,0,0,320148
29.0,20.0,10.0,5.0,4.0,4.290212183436003,1,1,0,0,0,0,0,1,0,0,0,99416
23.0,21.0,9.0,2.0,1.0,1.7494866529774127,0,0,0,0,0,0,0,0,0,1,0,42877
24.0,22.0,8.0,3.0,1.0,2.4503764544832305,1,0,0,0,0,0,0,0,0,0,1,41312
22.0,15.0,15.0,2.0,0.0,3.3949349760438055,1,0,0,0,0,0,1,0,0,0,0,47859
22.0,30.0,0.0,2.0,0.0,1.5879534565366187,1,0,0,0,0,0,1,0,0,0,0,41222
21.0,16.0,14.0,4.0,0.0,1.6180698151950719,1,0,0,0,0,0,1,0,0,0,0,41863
29.0,23.0,7.0,2.0,5.0,2.1820670773442847,0,1,0,0,0,0,0,0,0,1,0,96378
24.0,16.0,14.0,2.0,1.0,2.21492128678987,1,0,0,0,0,0,0,0,0,0,0,46043
30.0,21.0,9.0,5.0,6.0,3.9342915811088295,0,1,0,0,0,0,0,0,0,0,0,74929
25.0,25.0,5.0,5.0,2.0,2.940451745379877,1,0,0,0,0,0,0,0,1,0,0,42002
22.0,30.0,0.0,3.0,0.0,1.626283367556468,1,0,0,0,0,0,0,0,0,0,0,41694
21.0,17.0,13.0,3.0,0.0,3.299110198494182,0,0,0,0,0,0,0,0,0,0,0,48839
21.0,29.0,1.0,4.0,0.0,3.34839151266256,0,0,0,0,0,0,0,0,0,0,0,46862
24.0,23.0,7.0,2.0,0.0,3.24435318275154,0,0,0,0,0,0,0,1,0,0,0,47386
23.0,16.0,14.0,4.0,0.0,2.7926078028747434,0,0,0,0,0,0,0,0,0,0,1,45561
23.0,30.0,0.0,2.0,0.0,3.268993839835729,0,0,0,0,0,0,1,0,0,0,0,48179
21.0,23.0,7.0,2.0,0.0,2.858316221765914,0,0,0,0,0,0,0,0,0,1,0,46224
24.0,22.0,8.0,2.0,1.0,2.5516769336071183,0,0,0,0,0,0,0,0,0,0,1,46349
24.0,26.0,4.0,4.0,0.0,3.3073237508555784,0,0,0,0,0,0,0,1,0,0,0,45482
24.0,18.0,12.0,2.0,0.0,3.0390143737166326,0,0,0,0,0,0,0,0,0,0,1,44763
21.0,30.0,0.0,5.0,0.0,3.0882956878850103,1,0,0,0,0,0,0,1,0,0,0,43378
25.0,15.0,15.0,2.0,0.0,4.076659822039699,1,0,0,0,1,0,0,1,0,0,0,56181
21.0,27.0,3.0,5.0,0.0,2.3381245722108144,0,0,0,0,0,0,1,0,0,0,0,40363
24.0,17.0,13.0,4.0,1.0,2.242299794661191,1,0,0,0,0,0,0,1,0,0,0,45776
21.0,22.0,8.0,5.0,0.0,3.1512662559890487,1,0,0,0,0,0,0,1,0,0,0,43030
23.0,17.0,13.0,2.0,0.0,2.8254620123203287,1,0,0,0,0,0,0,0,0,0,1,47719
23.0,22.0,8.0,3.0,0.0,2.516084873374401,1,0,0,0,0,0,0,0,0,1,0,45680
23.0,26.0,4.0,2.0,1.0,1.7905544147843941,0,0,0,0,0,0,0,1,0,0,0,47807
24.0,23.0,7.0,5.0,1.0,2.0095824777549622,1,0,0,0,0,0,1,0,0,0,0,40594
30.0,29.0,1.0,4.0,8.0,1.809719370294319,0,1,0,0,0,0,0,0,1,0,0,83971
25.0,18.0,12.0,3.0,3.0,1.8069815195071868,1,0,0,0,0,0,0,0,1,0,0,47881
22.0,29.0,1.0,5.0,0.0,2.0451745379876796,0,0,0,0,0,0,1,0,0,0,0,40920
22.0,22.0,8.0,2.0,0.0,1.782340862422998,0,0,0,0,0,0,1,0,0,0,0,45487
22.0,16.0,14.0,4.0,0.0,2.8856947296372346,0,0,0,0,0,0,0,0,1,0,0,48160
32.0,20.0,10.0,2.0,5.0,3.693360711841205,1,0,0,1,0,0,0,1,0,0,0,100952
21.0,29.0,1.0,4.0,0.0,2.751540041067762,1,0,0,0,0,0,0,1,0,0,0,41621
24.0,18.0,12.0,4.0,2.0,1.9356605065023955,0,0,0,0,0,0,0,0,0,0,0,48976
30.0,28.0,2.0,3.0,2.0,4.862422997946612,1,1,0,0,0,0,0,0,0,0,1,93212
25.0,25.0,5.0,4.0,2.0,2.16290212183436,0,0,0,0,0,0,0,1,0,0,0,43991
23.0,22.0,8.0,5.0,0.0,2.3737166324435317,0,0,0,0,0,0,0,1,0,0,0,47326
21.0,24.0,6.0,2.0,0.0,2.847364818617385,0,0,0,0,0,0,0,0,0,0,1,42895
23.0,22.0,8.0,5.0,0.0,2.891170431211499,0,0,0,0,0,0,1,0,0,0,0,41144
22.0,22.0,8.0,3.0,0.0,2.6858316221765914,1,0,0,0,0,0,0,0,0,0,0,41861
23.0,23.0,7.0,4.0,0.0,2.2614647501711156,0,0,0,0,0,0,0,0,1,0,0,44886
26.0,18.0,12.0,2.0,3.0,2.855578370978782,0,0,0,0,1,0,0,1,0,0,0,50492
21.0,21.0,9.0,3.0,0.0,3.162217659137577,1,0,0,0,0,0,0,0,0,0,1,40222
23.0,23.0,7.0,4.0,0.0,2.1820670773442847,0,0,0,0,0,0,0,0,0,0,1,44214
21.0,18.0,12.0,4.0,0.0,2.3737166324435317,0,0,0,0,0,0,0,1,0,0,0,40041
24.0,23.0,7.0,3.0,0.0,3.216974674880219,1,0,0,0,0,0,0,0,0,0,0,45278
22.0,24.0,6.0,2.0,0.0,2.8884325804243667,1,0,0,0,0,0,0,0,0,1,0,45997
21.0,23.0,7.0,5.0,0.0,1.8480492813141685,1,0,0,0,0,0,1,0,0,0,0,43873
22.0,21.0,9.0,4.0,0.0,2.784394250513347,1,0,0,0,0,0,0,0,0,1,0,46098
43.0,20.0,10.0,4.0,17.0,1.891854893908282,0,0,1,0,0,0,0,0,0,0,1,235565
24.0,22.0,8.0,2.0,0.0,3.3319644079397674,0,0,0,0,0,0,0,0,0,0,0,45619
23.0,19.0,11.0,5.0,0.0,2.2477754962354553,0,0,0,0,0,0,0,0,1,0,0,44551
22.0,19.0,11.0,4.0,0.0,2.1546885694729636,1,0,0,0,0,0,0,0,0,0,1,49577
23.0,20.0,10.0,5.0,1.0,1.5058179329226558,1,0,0,0,0,0,0,0,0,1,0,41895
22.0,24.0,6.0,3.0,0.0,1.6016427104722792,1,0,0,0,0,0,0,0,1,0,0,41290
24.0,22.0,8.0,2.0,1.0,2.617385352498289,1,0,0,0,0,0,0,0,1,0,0,47714
24.0,24.0,6.0,3.0,0.0,3.1704312114989732,1,0,0,0,0,0,0,1,0,0,0,41955
23.0,23.0,7.0,3.0,0.0,2.0533880903490758,1,0,0,0,0,0,1,0,0,0,0,43007
42.0,23.0,7.0,5.0,11.0,7.030800821355236,0,0,1,0,0,0,0,0,0,1,0,236901
21.0,21.0,9.0,5.0,0.0,3.0663928815879533,1,0,0,0,0,0,0,0,0,0,0,42879
24.0,21.0,9.0,2.0,2.0,1.4784394250513346,0,0,0,0,0,0,0,0,0,0,1,47638
32.0,21.0,9.0,5.0,7.0,2.954140999315537,0,1,0,0,0,0,0,0,1,0,0,99412
30.0,22.0,8.0,4.0,6.0,3.586584531143053,1,1,0,0,0,0,1,0,0,0,0,81901
23.0,21.0,9.0,2.0,0.0,2.5708418891170433,0,0,0,0,0,0,0,0,0,1,0,46425
22.0,21.0,9.0,3.0,0.0,2.1519507186858315,0,0,0,0,0,0,0,1,0,0,0,43548
24.0,23.0,7.0,3.0,1.0,2.291581108829569,0,0,0,0,0,0,0,0,0,0,1,45172
22.0,23.0,7.0,4.0,0.0,3.156741957563313,1,0,0,0,0,0,0,1,0,0,0,47890
22.0,26.0,4.0,3.0,0.0,1.6454483230663928,0,0,0,0,0,0,0,0,1,0,0,41053
32.0,25.0,5.0,4.0,6.0,4.016427104722792,0,1,0,0,0,0,0,1,0,0,0,96410
25.0,16.0,14.0,2.0,0.0,4.290212183436003,1,0,0,0,1,0,1,0,0,0,0,66563
38.0,26.0,4.0,3.0,12.0,4.361396303901437,1,0,0,0,0,1,0,1,0,0,0,154120
28.0,15.0,15.0,2.0,2.0,4.060232717316906,0,0,0,0,1,0,0,1,0,0,0,55693
21.0,24.0,6.0,2.0,0.0,3.271731690622861,0,0,0,0,0,0,0,1,0,0,0,46071
28.0,24.0,6.0,4.0,3.0,2.625598904859685,0,0,0,0,1,0,0,0,0,1,0,50368
32.0,16.0,14.0,5.0,8.0,2.6611909650924024,0,0,0,1,0,0,0,0,1,0,0,129647
26.0,23.0,7.0,2.0,0.0,1.8179329226557153,1,0,0,0,1,0,0,0,1,0,0,63290
24.0,25.0,5.0,3.0,1.0,2.537987679671458,0,0,0,0,0,0,0,0,1,0,0,46062
22.0,15.0,15.0,3.0,0.0,2.516084873374401,0,0,0,0,0,0,0,0,0,1,0,47788
22.0,24.0,6.0,3.0,0.0,3.1019849418206706,1,0,0,0,0,0,0,0,0,0,1,48667
24.0,27.0,3.0,5.0,1.0,2.135523613963039,0,0,0,0,0,0,0,1,0,0,0,41714
22.0,29.0,1.0,3.0,0.0,3.268993839835729,1,0,0,0,0,0,0,0,0,0,1,49326
22.0,29.0,1.0,4.0,0.0,2.8254620123203287,0,0,0,0,0,0,0,0,0,0,1,41265
27.0,16.0,14.0,4.0,4.0,2.6584531143052703,0,0,0,0,1,0,0,0,0,0,0,53275
24.0,22.0,8.0,3.0,1.0,2.940451745379877,0,0,0,0,0,0,1,0,0,0,0,44684
24.0,18.0,12.0,5.0,2.0,1.9685147159479808,1,0,0,0,0,0,1,0,0,0,0,40318
28.0,25.0,5.0,4.0,0.0,4.027378507871321,0,0,0,0,1,0,0,0,0,0,1,55790
23.0,19.0,11.0,2.0,1.0,1.6016427104722792,0,0,0,0,0,0,0,0,0,0,0,48287
22.0,18.0,12.0,5.0,0.0,1.9739904175222451,1,0,0,0,0,0,1,0,0,0,0,48572
27.0,30.0,0.0,2.0,4.0,2.976043805612594,0,0,0,0,1,0,0,0,0,0,0,65090
24.0,23.0,7.0,2.0,2.0,1.6180698151950719,1,0,0,0,0,0,1,0,0,0,0,42529
21.0,25.0,5.0,5.0,0.0,2.0150581793292264,0,0,0,0,0,0,0,0,0,0,0,49497
27.0,27.0,3.0,2.0,1.0,1.7248459958932238,1,0,0,0,1,0,0,1,0,0,0,50084
24.0,15.0,15.0,5.0,2.0,1.596167008898015,1,0,0,0,0,0,1,0,0,0,0,45748
23.0,21.0,9.0,3.0,0.0,3.405886379192334,0,0,0,0,0,0,0,0,0,0,0,41120
